SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased
398,MH,Maharashtra,MH_Satara,Satara,29,24,3,2
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,1,0,1,0
400,MH,Maharashtra,MH_Solapur,Solapur,47,42,0,5
401,MH,Maharashtra,MH_Thane,Thane,738,599,125,14
402,MH,Maharashtra,MH_Wardha,Wardha,,0,,
403,MH,Maharashtra,MH_Washim,Washim,1,0,1,0
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,48,38,10,0
0,MH,Maharashtra,MH_Other State,Other State,25,23,0,2
405,MN,Manipur,MN_Bishnupur,Bishnupur,,0,,
406,MN,Manipur,MN_Chandel,Chandel,,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,1,0,1,
409,MN,Manipur,MN_Imphal West,Imphal West,1,0,1,
410,MN,Manipur,MN_Jiribam,Jiribam,,0,,
411,MN,Manipur,MN_Kakching,Kakching,,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,,0,,
414,MN,Manipur,MN_Noney,Noney,,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,,0,,
416,MN,Manipur,MN_Senapati,Senapati,,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,12,11,,1
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,1,1,,
433,MZ,Mizoram,MZ_Champhai,Champhai,,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,,0,,
442,NL,Nagaland,NL_Kohima,Kohima,,0,,
443,NL,Nagaland,NL_Longleng,Longleng,,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,,0,,
445,NL,Nagaland,NL_Mon,Mon,,0,,
446,NL,Nagaland,NL_Peren,Peren,,0,,
447,NL,Nagaland,NL_Phek,Phek,,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,,0,,
449,NL,Nagaland,NL_Wokha,Wokha,,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,,0,,
451,OR,Odisha,OR_Angul,Angul,,0,,
452,OR,Odisha,OR_Balangir,Balangir,,0,,
453,OR,Odisha,OR_Balasore,Balasore,10,10,,
454,OR,Odisha,OR_Bargarh,Bargarh,,0,,
455,OR,Odisha,OR_Boudh,Boudh,,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,16,14,2,
457,OR,Odisha,OR_Cuttack,Cuttack,1,0,1,
458,OR,Odisha,OR_Deogarh,Deogarh,,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,1,0,1,
460,OR,Odisha,OR_Gajapati,Gajapati,,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,18,17,1,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,2,0,2,
466,OR,Odisha,OR_Kandhamal,Kandhamal,,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,2,1,1,
468,OR,Odisha,OR_Kendujhar,Kendujhar,,0,,
469,OR,Odisha,OR_Khordha,Khordha,46,22,23,1
470,OR,Odisha,OR_Koraput,Koraput,,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,,0,,
476,OR,Odisha,OR_Puri,Puri,1,0,1,
477,OR,Odisha,OR_Rayagada,Rayagada,,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,6,3,3,
481,PY,Puducherry,PY_Karaikal,Karaikal,,0,,
482,PY,Puducherry,PY_Mahe,Mahe,1,0,1,
483,PY,Puducherry,PY_Puducherry,Puducherry,7,4,3,
484,PY,Puducherry,PY_Yanam,Yanam,,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,14,11,1,2
486,PB,Punjab,PB_Barnala,Barnala,2,0,1,1
487,PB,Punjab,PB_Bathinda,Bathinda,,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,3,2,1,0
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,2,0,2,0
490,PB,Punjab,PB_Fazilka,Fazilka,,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,1,1,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,1,0,0,1
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,7,1,5,1
494,PB,Punjab,PB_Jalandhar,Jalandhar,78,68,7,3
495,PB,Punjab,PB_Kapurthala,Kapurthala,3,0,2,1
496,PB,Punjab,PB_Ludhiana,Ludhiana,18,8,4,4
497,PB,Punjab,PB_Mansa,Mansa,13,10,3,0
498,PB,Punjab,PB_Moga,Moga,4,0,4,0
499,PB,Punjab,PB_Pathankot,Pathankot,25,15,9,1
500,PB,Punjab,PB_Patiala,Patiala,61,60,1,0
501,PB,Punjab,PB_Rupnagar,Rupnagar,3,0,2,1
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,63,39,22,2
503,PB,Punjab,PB_Sangrur,Sangrur,3,1,2,0
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,20,1,18,1
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,1,1,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,,,,
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,123,118,5,
508,RJ,Rajasthan,RJ_Alwar,Alwar,7,2,4,1
509,RJ,Rajasthan,RJ_Banswara,Banswara,62,41,21,
510,RJ,Rajasthan,RJ_Baran,Baran,,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,2,1,1,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,110,104,5,1
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,33,1,30,2
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,37,4,32,1
515,RJ,Rajasthan,RJ_Bundi,Bundi,,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,1,1,,
517,RJ,Rajasthan,RJ_Churu,Churu,14,3,11,
518,RJ,Rajasthan,RJ_Dausa,Dausa,21,14,7,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,5,4,1,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,6,1,5,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,11,9,2,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,808,565,222,21
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,34,8,26,
525,RJ,Rajasthan,RJ_Jalore,Jalore,,0,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,30,14,16,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,42,10,32,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,364,309,50,5
529,RJ,Rajasthan,RJ_Karauli,Karauli,3,1,2,
530,RJ,Rajasthan,RJ_Kota,Kota,158,74,80,4
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,113,105,7,1
532,RJ,Rajasthan,RJ_Pali,Pali,2,0,2,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,2,0,2,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,1,1,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,8,8,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,5,2,1,2
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,,0,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,115,82,32,1
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,5,1,4,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,36,25,
0,RJ,Rajasthan,RJ_Other State,Other State,,,2,2
540,SK,Sikkim,SK_East District,East District,,0,,
541,SK,Sikkim,SK_North District,North District,,0,,
542,SK,Sikkim,SK_South District,South District,,0,,
543,SK,Sikkim,SK_West District,West District,,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,5,3,2,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,55,14,40,2
545,TN,Tamil Nadu,TN_Chennai,Chennai,528,356,161,12
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,141,47,94,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,26,8,18,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,1,1,0,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,80,17,62,1
550,TN,Tamil Nadu,TN_Erode,Erode,70,5,64,1
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,6,3,3,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,18,11,7,1
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,16,10,6,
553,TN,Tamil Nadu,TN_Karur,Karur,41,0,41,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,,0,0,
555,TN,Tamil Nadu,TN_Madurai,Madurai,75,66,8,2
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,44,16,28,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,59,14,45,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,7,6,1,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,1,1,0,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,15,8,7,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,38,6,32,
561,TN,Tamil Nadu,TN_Salem,Salem,31,25,6,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,12,12,0,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,35,33,2,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,54,31,23,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,9,0,9,
565,TN,Tamil Nadu,TN_Theni,Theni,44,8,35,1
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,54,40,14,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,30,22,8,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,27,2,23,2
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,51,9,42,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,65,12,53,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,18,1,17,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,112,29,83,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,11,1,10,
573,TN,Tamil Nadu,TN_Vellore,Vellore,23,9,13,1
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,51,27,22,2
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,32,16,16,
0,TG,Telangana,TG_Other State,Other State,,,,
576,TG,Telangana,TG_Adilabad,Adilabad,21,13,8,0
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,4,0,4,0
578,TG,Telangana,TG_Hyderabad,Hyderabad,540,371,151,18
579,TG,Telangana,TG_Jagtial,Jagtial,3,1,2,0
580,TG,Telangana,TG_Jangaon,Jangaon,3,2,1,0
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,3,3,0,0
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,45,35,9,1
583,TG,Telangana,TG_Kamareddy,Kamareddy,12,4,8,0
584,TG,Telangana,TG_Karimnagar,Karimnagar,19,4,15,0
585,TG,Telangana,TG_Khammam,Khammam,8,7,1,0
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,7,7,0,0
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,1,0,1,0
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,11,3,8,0
589,TG,Telangana,TG_Mancherial,Mancherial,1,0,0,1
590,TG,Telangana,TG_Medak,Medak,5,2,3,0
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,22,18,3,1
592,TG,Telangana,TG_Mulugu,Mulugu,2,0,2,0
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,2,0,2,0
594,TG,Telangana,TG_Nalgonda,Nalgonda,17,6,11,0
595,TG,Telangana,TG_Narayanpet,Narayanpet,1,0,0,1
596,TG,Telangana,TG_Nirmal,Nirmal,20,9,11,0
597,TG,Telangana,TG_Nizamabad,Nizamabad,61,34,27,0
598,TG,Telangana,TG_Peddapalli,Peddapalli,2,1,1,0
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,3,3,0,0
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,33,21,10,2
601,TG,Telangana,TG_Sangareddy,Sangareddy,7,2,5,0
602,TG,Telangana,TG_Siddipet,Siddipet,1,0,1,0
603,TG,Telangana,TG_Suryapet,Suryapet,83,79,4,0
604,TG,Telangana,TG_Vikarabad,Vikarabad,37,30,6,1
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,0,0,0,0
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,0,0,0,0
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,27,5,22,0
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,0,0,0,0
609,TR,Tripura,TR_Dhalai,Dhalai,,0,,
610,TR,Tripura,TR_Gomati,Gomati,1,0,1,
611,TR,Tripura,TR_Khowai,Khowai,,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,1,0,1,
613,TR,Tripura,TR_Sipahijala,Sipahijala,,0,,
614,TR,Tripura,TR_South Tripura,South Tripura,,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,,0,,
616,TR,Tripura,TR_West Tripura,West Tripura,,0,,
617,UP,Uttar Pradesh,UP_Agra,Agra,372,313,49,10
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,13,12,,1
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,,0,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,25,25,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,10,10,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,8,5,3,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,15,14,1,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,9,9,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,1,1,,
628,UP,Uttar Pradesh,UP_Banda,Banda,3,3,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,1,0,1,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,6,0,6,
631,UP,Uttar Pradesh,UP_Basti,Basti,23,17,5,1
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,1,1,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,29,29,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,14,13,1,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,38,32,5,1
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,,0,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,3,3,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,2,2,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,,0,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,83,79,3,1
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,117,46,71,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,58,42,16,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,6,1,5,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,1,1,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,,0,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,25,25,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,2,0,2,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,4,0,4,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,1,1,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,5,1,4,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,,0,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,7,7,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,170,160,7,3
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,3,3,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,2,0,2,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,4,0,4,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,194,163,30,1
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,,0,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,6,0,6,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,5,5,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,10,10,,
670,UP,Uttar Pradesh,UP_Mau,Mau,1,1,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,89,48,36,5
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,3,3,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,101,94,1,6
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,18,15,3,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,2,0,2,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,6,0,6,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,4,3,1,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,43,43,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,20,16,4,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,181,171,10,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,13,13,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,21,21,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,1,0,1,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,27,9,18,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,5,5,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,20,8,12,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,3,3,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,1,1,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,37,28,8,1
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,1,1,,
692,UT,Uttarakhand,UT_Almora,Almora,1,0,1,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,28,16,14,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,7,7,,
698,UT,Uttarakhand,UT_Nainital,Nainital,10,4,6,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,1,0,1,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,4,0,4,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,,0,,
706,WB,West Bengal,WB_Bankura,Bankura,,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,4,4,,
711,WB,West Bengal,WB_Hooghly,Hooghly,12,12,,
712,WB,West Bengal,WB_Howrah,Howrah,79,79,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,5,5,,
714,WB,West Bengal,WB_Jhargram,Jhargram,,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,7,7,,
716,WB,West Bengal,WB_Kolkata,Kolkata,184,184,,
717,WB,West Bengal,WB_Malda,Malda,,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,22,22,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,2,2,,
720,WB,West Bengal,WB_Nadia,Nadia,6,6,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,47,47,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,7,7,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,1,1,,
725,WB,West Bengal,WB_Purulia,Purulia,,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,12,12,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,,0,,
0,WB,West Bengal,WB_Other State,Other State,,,,
