,State,Total Tested,Positive,Negative,Unconfirmed,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,,,,Source2
14/04/2020,Madhya Pradesh,12940,741,7103,4835,,,20243,783,690,578780,https://twitter.com/JansamparkMP/status/1250071572779601920?s=09,,,,
14/04/2020,Maharashtra,41071,2340,39089,,,,,,,,https://twitter.com/Maha_MEDD/status/1249943643357511680?s=19,,,,https://phdmah.maps.arcgis.com/apps/opsdashboard/index.html#/2cc0055832264c5296890745e9ea415c
14/04/2020,Mizoram,91,1,,,,,,,,,https://health.mizoram.gov.in/post/covid-19-bulletin-date-1442020,,,,
14/04/2020,Nagaland,174,0,97,77,,,,,,,https://nagahealth.nagaland.gov.in/,,,,
14/04/2020,Odisha,4734,56,4678,,,,,,,,https://health.odisha.gov.in/,,,,
14/04/2020,Punjab,4844,184,4047,613,,,,,,,http://pbhealth.gov.in/Media%20Bulletin-%2014.4.2020.pdf,,,,http://pbhealth.gov.in/media-bulletin.htm
14/04/2020,Rajasthan,34928,1005,29376,4583,,,,,,,https://t.me/indiacovid/2309,,,,
14/04/2020,Tamil Nadu,19255,1204,13234,13234,1870,,29074,,3371,,https://stopcorona.tn.gov.in/,,,,https://stopcorona.tn.gov.in/wp-content/uploads/2020/03/Media-Bulletin-14.04.2020-4-Pages-English-175-KB.pdf
14/04/2020,Uttarakhand,2174,35,1838,305,,,,,,,https://www.facebook.com/UKMedicalHealth/photos/rpp.1665195163730186/2566043650311995/?type=3&theater,,,,
14/04/2020,Uttar Pradesh,15914,660,15134,120,,,,,,,https://t.me/indiacovid/2294?single,,,,
14/04/2020,West Bengal,3081,190,,,2395,1956,,,,31330,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_14.04_.2020_.pdf,,,,https://www.mohfw.gov.in/
14/04/2020,Andhra Pradesh,11613,525,11088,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,
15/04/2020,Assam,3613,32,3492,89,,,3212,440,240,10915,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,,
15/04/2020,Bihar,8263,66,,565,,,,,,40380,https://twitter.com/sanjayjavin/status/1250296101350957058?s=09,,,,https://twitter.com/SHSBihar/status/1250345699780096001?s=09
15/04/2020,Chandigarh,317,21,293,2,,,,,,,http://chdcovid19.in,,,,
15/04/2020,Chhattisgarh,5122,33,4878,211,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_15042020.pdf,,,,
15/04/2020,Delhi,16605,1578,13865,956,,,,,,,https://twitter.com/CMODelhi/status/1250468383868350469?s=19,,,,
15/04/2020,Goa,556,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1250412621158690818?s=19,,,,
15/04/2020,Gujarat,19197,766,18431,0,15147,,,,,,https://t.me/indiacovid/2364?single,,,,
15/04/2020,Haryana,7388,190,5581,1617,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%20date%2015042020evening.pdf,,,,
15/04/2020,Himachal Pradesh,1426,35,1391,0,,,,,,,https://twitter.com/nhm_hp/status/1250447162388824064?s=19,,,,
15/04/2020,Jammu and Kashmir,5171,300,4871,,270,,,,,,https://twitter.com/diprjk/status/1250429960319152128?s=19,,,,
15/04/2020,Jharkhand,,,,,,,,,,,,,,,
15/04/2020,Karnataka,12483,279,11905,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/15-04-2020(English).pdf,,,,
15/04/2020,Kerala,16475,387,16002,86,,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,
15/04/2020,Ladakh,820,18,657,86,154,,,,,,https://twitter.com/ladags/status/1250457259299110914?s=19,,,,
15/04/2020,Madhya Pradesh,14096,938,8658,4501,,,29355,840,690,607324,https://twitter.com/JansamparkMP/status/1250441930896334852?s=09,,,,
15/04/2020,Maharashtra,45142,2690,42808,,,,,,,,https://twitter.com/Maha_MEDD/status/1250306461097320448,,,,https://drive.google.com/file/d/1ItKhc3Ch9ueTg3EsMmq0dlQTgPlt-l5a/view
15/04/2020,Mizoram,94,1,,,,,,,,,https://health.mizoram.gov.in/post/covid-19-bulletin-date-1542020,,,,
15/04/2020,Nagaland,184,0,174,10,,,,,,,https://nagahealth.nagaland.gov.in/,,,,
15/04/2020,Odisha,5537,60,5477,,,,,,,,https://health.odisha.gov.in/,,,,
15/04/2020,Punjab,5193,186,4404,603,,,,,,,http://pbhealth.gov.in/Media%20Bulletin%2015.4.2020.pdf,,,,
15/04/2020,Rajasthan,37860,1076,31902,4882,,,,,,,https://t.me/indiacovid/2376,,,,
15/04/2020,Tamil Nadu,21994,1242,15210,1383,,,29074,,3371,,https://stopcorona.tn.gov.in/wp-content/uploads/2020/03/Media-Bulletin-15.04.2020.pdf,,,,
15/04/2020,Tripura,738,2,,,,,,,,,https://www.facebook.com/bjpbiplab/posts/2424173307684330,,,,
15/04/2020,Uttarakhand,2413,37,2022,354,,,,,,,http://health.uk.gov.in/files/Corrected-15-04-2020-Health-Bulletin.pdf,,,,
15/04/2020,Uttar Pradesh,19506,727,18595,184,,,,,,,https://t.me/indiacovid/2356,,,,
15/04/2020,West Bengal,3470,213,,,,,,,,32417,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_15.04_.2020_.pdf,,,,https://www.mohfw.gov.in/
15/04/2020,Andhra Pradesh,20235,534,19701,,,,,,,,http://hmfw.ap.gov.in/covid_dashboard.aspx,,,,
16/04/2020,Assam,4108,34,3803,,,,3338,440,303,11248,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,,,
16/04/2020,Bihar,8846,72,,607,,,,,,,https://twitter.com/BiharHealthDept/status/1250667064571785216?s=09,,,,
16/04/2020,Chandigarh,337,21,315,0,,,,,,,https://twitter.com/ANI/status/1250765375874072578?s=09,,,,
16/04/2020,Chhattisgarh,5519,33,5168,318,,,,,,,http://cghealth.nic.in/cghealth17/Information/content/CORONA/MediaBulletinHINDI_16042020.pdf,,,,
16/04/2020,Delhi,18784,1640,14692,2251,,,,,,,https://twitter.com/CMODelhi/status/1250830372830470145?s=20,,,,
16/04/2020,Goa,611,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1250772892956028930?s=19,,,,
16/04/2020,Gujarat,20903,929,19974,0,14906,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1604162020113223580.pdf,,,,
16/04/2020,Haryana,8064,214,6465,1408,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin%2016-04-2020%20Evening.pdf,,,,
16/04/2020,Himachal Pradesh,1604,35,1559,10,,,,,,,https://twitter.com/nhm_hp/status/1250826722766761986?s=09,,,,
16/04/2020,Jammu and Kashmir,5680,314,5366,,265,,,,,,https://mobile.twitter.com/diprjk/status/1250767946072199168/photo/2,,,,
16/04/2020,Jharkhand,,,,,,,,,,,,,,,
16/04/2020,Karnataka,13724,315,13074,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/16-04-2020(English).pdf,,,,
16/04/2020,Kerala,17400,394,16459,547,,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,
16/04/2020,Ladakh,917,18,695,145,157,,,,,,https://twitter.com/ladags/status/1250757796007567360?s=19,,,,
16/04/2020,Madhya Pradesh,17650,1164,12326,4158,,,,,,637288,https://twitter.com/JansamparkMP/status/1250813847650177024,,,,
16/04/2020,Maharashtra,50882,2916,48198,,,,,,,,https://twitter.com/Maha_MEDD/status/1250659519840968704,,,,
16/04/2020,Meghalaya,552,7,299,246,,,,,,,https://t.me/indiacovid/2463,,,,
16/02/2020,Mizoram,94,1,,,,,,,,,https://health.mizoram.gov.in/post/covid-19-bulletin-date-1642020,,,,
16/04/2020,Nagaland,,,,,,,,,,,,,,,
16/04/2020,Odisha,6734,60,6674,,,,,,,,https://health.odisha.gov.in/pdf/covid-19-Analysis-Report-16042020.pdf,,,,https://health.odisha.gov.in/
16/04/2020,Punjab,5524,197,4727,600,,,,,,,http://pbhealth.gov.in/Media%20Bulletin%20COVID-19%2016-04-2020.pdf,,,,
16/04/2020,Rajasthan,40778,1101,33739,5938,,,,,,,https://t.me/indiacovid/2402,,,,
16/04/2020,Tamil Nadu,26005,1267,18743,1400,,,29074,,3371,,https://stopcorona.tn.gov.in/wp-content/uploads/2020/03/Media-Bulletin16.04.2020-4-Pages-English-174-KB.pdf,,,,
16/04/2020,Tripura,762,2,760,,,,,,,,https://t.me/indiacovid/2466,,,,
16/04/2020,Uttarakhand,2593,37,2210,346,,,,,,353,https://m.facebook.com/UKMedicalHealth/photos/a.1933022463614120/2567811600135200/?type=3&source=48&__tn__=EH-R,,,,
16/04/2020,Uttar Pradesh,21384,805,20374,205,,,,,,,https://t.me/indiacovid/2448,,,,
16/04/2020,West Bengal,3811,231,,,,,,,,33400,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_16.04_.2020_.pdf,,,,https://www.mohfw.gov.in/
16/04/2020,Andhra Pradesh,,,,,,,,,,,,,,,
17/04/2020,Assam,4236,34,4024,,,,3338,440,303,11561,https://t.me/indiacovid/2511,,,,
17/04/2020,Bihar,9486,83,,510,,,,,,,https://twitter.com/sanjayjavin/status/1251023696354881537,,,,
17/04/2020,Chandigarh,358,21,335,1,,,,,,,http://chdcovid19.in/,,,,
17/04/2020,Chhattisgarh,,,,,,,,,,,,,,,
17/04/2020,Delhi,21409,1707,16899,2674,,,,,,,https://twitter.com/CMODelhi/status/1251190807106777089/photo/2,,,,
17/04/2020,Goa,673,7,,,,,,,,,https://twitter.com/DHS_Goa/status/1251147496824303620,,,,
17/04/2020,Gujarat,23483,1099,22339,45,15914,,,,,,https://gujcovid19.gujarat.gov.in/uploads/pressbrief1704172020075526411.pdf,,,,
17/04/2020,Haryana,8884,223,7148,1527,,,,,,,http://www.nhmharyana.gov.in/WriteReadData/userfiles/file/CoronaVirus/Bulletin17_04_2020_Evening.pdf,,,,
17/04/2020,Himachal Pradesh,1992,36,1740,216,,,,,,,https://twitter.com/nhm_hp/status/1251189060976037890/photo/1,,,,
17/04/2020,Jammu and Kashmir,6438,328,6110,,260,,,,,,https://twitter.com/diprjk/status/1248598584380887042/photo/1,,,,
17/04/2020,Jharkhand,3751,32,3111,,,,2891,239,,,https://t.me/indiacovid/2518,,,,
17/04/2020,Karnataka,17594,359,14606,,,,,,,,https://karunadu.karnataka.gov.in/hfw/kannada/nCovDocs/17-04-2020(English).pdf,,,,
17/04/2020,Kerala,18029,395,17279,355,,,,,,,https://dashboard.kerala.gov.in/testing-view-public.php,,,,
17/04/2020,Ladakh,,,,,,,,,,,,,,,
17/04/2020,Madhya Pradesh,20298,1310,13992,4996,,,,,,668994,https://twitter.com/JansamparkMP/status/1251155692213334018,,,,
17/04/2020,Meghalaya,617,9,541,,105,,,,,,http://meghalaya.gov.in/megcms/sites/default/files/press_release/CM%20Media%20Brief_0.pdf,,,,
17/04/2020,Maharashtra,55678,3204,52762,,,,,,,,https://twitter.com/Maha_MEDD/status/1251045031869214720,,,,
17/04/2020,Mizoram,,,,,,,,,,,,,,,
17/04/2020,Nagaland,,,,,,,,,,,,,,,
17/04/2020,Odisha,7577,60,7517,,,,,,,,https://health.odisha.gov.in/pdf/covid-19-Analysis-Report-17042020.pdf,,,,https://health.odisha.gov.in/
17/04/2020,Punjab,5988,211,5113,664,,,,,,,https://t.me/indiacovid/2492?single,,,,
17/04/2020,Rajasthan,42847,1229,36153,5465,,,,,,,https://t.me/indiacovid/2516,,,,
17/04/2020,Tamil Nadu,29673,1323,21628,2023,,,29074,,3371,,https://stopcorona.tn.gov.in/wp-content/uploads/2020/03/Media-Bulletin-17.04.2020.pdf,,,,
17/04/2020,Tripura,,,,,,,,,,,,,,,
17/04/2020,Uttarakhand,2831,40,2420,371,,,,,,420,https://m.facebook.com/story.php?story_fbid=2568731796709847&id=1665195163730186&__tn__=%2As%2As-R,,,,
17/04/2020,Uttar Pradesh,24643,849,23648,146,,,,,,,https://t.me/indiacovid/2504?single,,,,
17/04/2020,West Bengal,4212,255,,,,,,,,34424,https://www.wbhealth.gov.in/uploaded_files/corona/Bulletin_West_Bengal_17.04_.2020_.pdf,,,,https://www.mohfw.gov.in/
17/04/2020,,,,,,,,,,,,,,,,
