SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
482,PY,Puducherry,PY_Mahe,Mahe,4122,224,3869,29,0,34,-11,45,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,82573,8384,72934,1255,0,746,-394,1130,10,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,6138,354,5690,94,0,29,-28,56,1,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,37382,967,36013,402,0,35,-86,119,2,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,57987,2771,54931,285,0,111,-192,301,2,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,9895,368,9429,98,0,3,-86,88,1,,
510,RJ,Rajasthan,RJ_Baran,Baran,11937,392,11487,58,0,2,-92,94,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,15216,896,14143,177,0,36,-163,199,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,19480,631,18599,250,0,22,-170,188,4,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,29643,596,28897,150,0,11,-89,99,1,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,39664,1200,37967,497,0,24,-206,227,3,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,85,0,85,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,7901,306,7551,44,0,10,-43,53,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,19667,693,18852,122,0,14,-83,95,2,,
517,RJ,Rajasthan,RJ_Churu,Churu,16476,859,15517,100,0,21,-166,185,2,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,13091,413,12624,54,0,12,-60,72,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,10970,218,10704,48,0,0,-39,39,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,18352,630,17602,120,0,17,-74,88,3,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,18772,1597,17052,123,0,20,-309,326,3,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,15232,1605,13544,83,0,56,-143,197,2,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,184886,8517,174473,1896,0,233,-1012,1233,12,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,13282,1273,11950,59,0,53,-219,267,5,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,10019,63,9884,72,0,2,-11,12,1,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,13460,374,12903,183,0,3,-77,80,0,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,14298,1406,12739,153,0,23,-76,98,1,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,111491,2507,107920,1064,0,29,-520,546,3,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,7061,277,6717,67,0,3,-48,49,2,,
530,RJ,Rajasthan,RJ_Kota,Kota,56876,1389,55048,439,0,27,-273,299,1,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,17501,694,16635,172,0,21,-80,100,1,,
0,RJ,Rajasthan,RJ_Other State,Other State,189,0,150,39,0,0,0,0,0,,
532,RJ,Rajasthan,RJ_Pali,Pali,27097,1276,25542,279,0,13,-97,109,1,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,7018,379,6583,56,0,4,-51,55,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,16888,574,16161,153,0,22,-60,82,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,10560,258,10246,56,0,6,-44,50,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,30082,1503,28257,322,0,49,-187,236,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,13522,344,13101,77,0,0,-46,45,1,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,9227,395,8748,84,0,13,-31,43,1,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,55690,2106,52916,668,0,107,-344,440,11,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,10714,5571,4917,148,78,210,210,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,497,415,72,1,9,22,22,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,2783,2328,438,2,15,27,27,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,1638,1457,137,19,25,50,50,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
576,TG,Telangana,TG_Adilabad,Adilabad,6816,6801,15,0,0,12,12,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,15018,15014,4,0,0,115,115,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
578,TG,Telangana,TG_Hyderabad,Hyderabad,128704,128376,305,23,0,318,318,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
579,TG,Telangana,TG_Jagtial,Jagtial,15125,15123,2,0,0,48,48,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
580,TG,Telangana,TG_Jangaon,Jangaon,6715,6714,1,0,0,34,34,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,5448,5448,0,0,0,63,63,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,6610,6584,25,1,0,41,41,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
583,TG,Telangana,TG_Kamareddy,Kamareddy,11234,11226,8,0,0,15,15,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
584,TG,Telangana,TG_Karimnagar,Karimnagar,24680,24664,16,0,0,129,129,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
585,TG,Telangana,TG_Khammam,Khammam,21304,21301,3,0,0,121,121,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,4127,4125,2,0,0,14,14,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,10441,10440,1,0,0,105,105,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,14829,14821,8,0,0,88,88,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
589,TG,Telangana,TG_Mancherial,Mancherial,13142,13141,0,1,0,88,88,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
590,TG,Telangana,TG_Medak,Medak,7881,7877,4,0,0,29,29,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,41581,41571,9,1,0,137,137,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
592,TG,Telangana,TG_Mulugu,Mulugu,5225,5223,2,0,0,54,54,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,11415,11413,2,0,0,52,52,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
594,TG,Telangana,TG_Nalgonda,Nalgonda,23673,23661,12,0,0,165,165,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
595,TG,Telangana,TG_Narayanpet,Narayanpet,2941,2940,0,1,0,21,21,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
596,TG,Telangana,TG_Nirmal,Nirmal,6977,6964,13,0,0,14,14,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
597,TG,Telangana,TG_Nizamabad,Nizamabad,20067,20037,30,0,0,18,18,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
598,TG,Telangana,TG_Peddapalli,Peddapalli,11980,11979,1,0,0,96,96,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,10262,10260,2,0,0,53,53,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,44598,44579,17,2,0,152,152,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
601,TG,Telangana,TG_Sangareddy,Sangareddy,17936,17930,6,0,0,66,66,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
602,TG,Telangana,TG_Siddipet,Siddipet,17019,17018,1,0,0,68,68,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
603,TG,Telangana,TG_Suryapet,Suryapet,13902,13878,24,0,0,73,73,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
604,TG,Telangana,TG_Vikarabad,Vikarabad,9997,9981,15,1,0,61,61,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,8666,8666,0,0,0,61,61,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,9179,9179,0,0,0,58,58,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,22498,22475,23,0,0,91,91,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,9523,9523,0,0,0,33,33,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,428,0,428,0,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,2079,2,2075,2,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,11525,2529,8876,120,0,222,-83,296,9,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,141707,9891,129928,1888,0,1181,-150,1279,52,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,506937,32069,467723,7145,0,2435,-1853,4234,54,[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,173842,40570,131965,1307,0,3345,1376,1936,33,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,49281,6114,42633,534,0,556,-572,1108,20,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,18956,3056,15770,130,0,329,-23,351,1,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,27283,3336,23530,417,0,299,-236,515,20,,
550,TN,Tamil Nadu,TN_Erode,Erode,58278,16093,41829,356,0,1634,205,1421,8,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,21540,4572,16829,139,0,340,128,206,6,,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,63865,5567,57315,983,0,463,-284,733,14,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,49664,9548,39372,744,0,849,-755,1588,16,,
553,TN,Tamil Nadu,TN_Karur,Karur,17598,3431,13945,222,0,401,-73,461,13,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,33167,4603,28361,203,0,427,-426,850,3,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,65512,15197,49395,920,0,617,-394,993,18,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,29758,5547,23868,343,0,663,84,572,7,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,33210,7285,25663,262,0,912,283,615,14,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,19661,3954,15613,94,0,583,-22,604,1,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,8665,2723,5880,62,0,235,10,220,5,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,23164,3682,19274,208,0,308,-146,453,1,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,17029,3255,13541,233,0,246,-50,286,10,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,34935,3400,31045,490,0,394,-1215,1588,21,,
561,TN,Tamil Nadu,TN_Salem,Salem,66764,8672,57104,988,0,1150,287,844,19,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,14626,2010,12455,161,0,232,29,203,0,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,22768,3682,18744,342,0,296,-132,421,7,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,48202,6896,40785,521,0,897,-126,1014,9,,
565,TN,Tamil Nadu,TN_Theni,Theni,36908,5579,30967,362,0,498,-649,1136,11,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,102066,7683,92973,1410,0,750,-554,1275,29,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,30326,5646,24481,199,0,522,-54,573,3,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,48345,8060,40001,284,0,584,-40,621,3,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,58208,11013,46593,602,0,993,176,796,21,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,43656,4436,38870,350,0,360,-165,519,6,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,23178,3808,19002,368,0,378,-174,538,14,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,62296,18594,43219,483,0,1349,299,1042,8,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,41761,7386,33951,424,0,431,-210,632,9,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,42577,2999,38827,751,0,409,-98,498,9,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,35042,5117,29672,253,0,599,119,476,4,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,38222,8126,29674,422,0,626,-162,776,12,,
609,TR,Tripura,TR_Dhalai,Dhalai,4431,402,4005,23,1,62,10,52,0,,
610,TR,Tripura,TR_Gomati,Gomati,4812,394,4368,49,1,58,-11,69,0,,
611,TR,Tripura,TR_Khowai,Khowai,2423,257,2129,37,0,25,-2,27,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,4220,444,3752,17,7,64,10,54,0,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,4208,501,3652,55,0,42,-46,87,1,,
614,TR,Tripura,TR_South Tripura,South Tripura,6097,921,5147,26,3,100,-24,124,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,4297,599,3664,34,0,71,0,69,2,,
616,TR,Tripura,TR_West Tripura,West Tripura,21483,3066,18131,275,11,419,53,363,3,,
617,UP,Uttar Pradesh,UP_Agra,Agra,25543,266,24856,421,0,12,-32,42,2,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,21118,314,20701,103,0,13,-18,31,0,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,4929,201,4583,145,0,7,-18,25,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,9836,284,9431,121,0,4,-38,42,0,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,16463,380,15915,168,0,24,-22,41,5,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,10028,151,9697,180,0,4,-26,23,7,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,16692,451,16003,238,0,38,-35,71,2,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,17788,550,17023,215,0,12,-15,25,2,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,8990,531,8326,133,0,35,-54,89,0,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,11316,329,10816,171,0,8,-34,41,1,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,21515,123,21164,228,0,8,-25,33,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,7363,192,7041,130,0,2,-30,32,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,10931,67,10716,148,0,5,0,5,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,19632,332,19088,212,0,4,-79,79,4,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,43690,1411,41992,287,0,27,-118,143,2,,
631,UP,Uttar Pradesh,UP_Basti,Basti,11572,224,11031,317,0,16,-30,43,3,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,7664,189,7321,154,0,7,-14,21,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,14635,346,14189,100,0,28,-44,72,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,14837,241,14498,98,0,6,-50,56,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,19763,902,18650,211,0,32,-96,126,2,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,16090,141,15607,342,0,7,-20,26,1,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,7079,41,6962,76,0,1,-7,8,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,19991,507,19293,191,0,32,-20,51,1,,
639,UP,Uttar Pradesh,UP_Etah,Etah,9903,188,9626,89,0,5,-17,22,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,13794,231,13283,280,0,-1,-38,37,0,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,10248,172,9897,179,0,6,-48,52,2,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,6745,43,6574,128,0,2,-1,3,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,8614,155,8325,134,0,5,-28,32,1,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,62424,947,61027,450,0,68,-126,194,0,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,55099,1025,53629,445,0,35,-663,695,3,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,21388,500,20636,252,0,26,-101,118,9,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,12066,196,11640,230,0,12,-25,36,1,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,58936,1284,56948,704,0,-11,-255,231,13,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,5193,26,5070,97,0,1,-10,11,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,12402,487,11719,196,0,23,-21,42,2,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,13552,291,12928,333,0,25,-13,37,1,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,2834,46,2755,33,0,1,-15,14,2,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,11524,114,11226,184,0,2,-15,17,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,22227,555,21447,225,0,16,-58,74,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,36344,742,35010,592,0,17,-88,99,6,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,9153,105,8941,107,0,9,-6,15,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,6154,38,6017,99,0,3,-2,5,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,82330,466,80163,1701,0,18,-62,72,8,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,4186,33,4100,53,0,0,-7,7,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,4392,17,4308,67,0,5,0,5,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,15294,426,14660,208,0,10,-42,48,4,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,24033,556,23224,253,0,61,-147,189,19,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,12665,190,12357,118,0,3,-22,24,1,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,237595,1951,233178,2466,0,54,-329,354,29,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,12216,231,11865,120,0,17,-11,27,1,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,4252,51,4117,84,0,1,-6,6,1,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,9801,171,9464,166,0,9,-33,42,0,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,20201,366,19524,311,0,7,-28,32,3,,
670,UP,Uttar Pradesh,UP_Mau,Mau,8110,259,7781,70,0,9,-9,18,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,68819,2019,65968,832,0,49,-533,579,3,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,10942,154,10696,92,0,6,-12,17,1,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,38939,508,38099,332,0,25,-42,67,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,30420,1392,28774,254,0,53,-112,163,2,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,10778,288,10339,151,0,27,-1,24,4,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,15815,297,15365,153,0,11,-52,61,2,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,77967,507,76566,894,0,32,-47,72,7,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,16691,473,15918,300,0,19,-39,56,2,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,11650,244,11262,144,0,15,-18,32,1,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,32691,1919,30385,387,0,55,-124,175,4,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,9380,276,9008,96,0,7,-16,22,1,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,8050,197,7769,84,0,15,5,10,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,20207,324,19562,321,0,11,-48,58,1,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,12696,470,12184,42,0,22,-72,94,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,4380,100,4245,35,0,10,-17,27,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,9148,403,8650,95,0,13,-22,35,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,12204,177,11854,173,0,4,-53,56,1,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,16639,377,16018,244,0,4,-59,62,1,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,14688,165,14397,126,0,6,-10,14,2,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,14770,364,14201,205,0,8,-89,96,1,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,84695,1776,81970,949,0,59,-167,222,4,,
692,UT,Uttarakhand,UT_Almora,Almora,11171,1138,9327,136,570,137,-178,314,1,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,5438,1028,4339,46,25,42,32,10,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,11609,2160,9212,55,182,93,92,2,-1,,
695,UT,Uttarakhand,UT_Champawat,Champawat,7215,750,6250,51,164,13,12,0,1,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,108762,2812,102178,3192,580,279,-438,694,23,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,49642,7373,40244,848,1177,117,34,81,2,,
698,UT,Uttarakhand,UT_Nainital,Nainital,37848,1591,35256,874,127,113,-98,209,2,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,17096,2923,13309,261,603,32,-190,217,5,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,9231,1770,7334,115,12,26,-197,218,5,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,8321,1153,6983,71,114,18,-167,185,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,15249,1540,12753,69,887,25,-109,131,3,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,36941,2065,33167,706,1003,58,53,1,4,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,11952,913,10638,73,328,28,28,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,12030,819,11117,94,0,46,-152,198,0,,
706,WB,West Bengal,WB_Bankura,Bankura,29747,2374,27151,222,0,303,-231,531,3,,
707,WB,West Bengal,WB_Birbhum,Birbhum,38624,699,37670,255,0,199,67,129,3,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,21649,1722,19843,84,0,258,-116,374,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,15307,897,14265,145,0,118,-83,199,2,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,43197,3399,39425,373,0,446,-314,755,5,,
711,WB,West Bengal,WB_Hooghly,Hooghly,73048,4393,67901,754,0,448,-584,1027,5,,
712,WB,West Bengal,WB_Howrah,Howrah,85704,5787,78564,1353,0,661,-662,1315,8,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,31135,3142,27612,381,0,451,-243,687,7,,
714,WB,West Bengal,WB_Jhargram,Jhargram,8314,1060,7231,23,0,130,-109,239,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,4757,497,4225,35,0,85,-23,108,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,296478,10645,281345,4488,0,1032,-1459,2459,32,,
717,WB,West Bengal,WB_Malda,Malda,31415,1026,30210,179,0,159,-62,221,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,32388,1256,30851,281,0,156,-131,282,5,,
720,WB,West Bengal,WB_Nadia,Nadia,60929,4602,55845,482,0,522,-526,1042,6,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,296134,16369,275811,3954,0,2028,-1681,3674,35,,
0,WB,West Bengal,WB_Other State,Other State,66,0,63,3,0,0,0,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,52992,3342,49350,300,0,297,-484,777,4,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,42743,3315,39020,408,0,463,-266,727,2,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,36025,2020,33876,129,0,196,-274,466,4,,
